date,campaign,spend,clicks,ad_conversions,note
2025-08-08,Summer_Sale_v3,1200,3400,210,
2025-08-09,Summer_Sale_v3,1180,3350,205,
2025-08-10,Summer_Sale_v3,1220,3420,215,
2025-08-11,Summer_Sale_v4,1500,3900,198,New checkout redirect flow pushed with campaign v4
2025-08-12,Summer_Sale_v4,1490,3850,150,
2025-08-13,Summer_Sale_v4,1510,3900,120,
2025-08-14,Summer_Sale_v4,1480,3800,98,
2025-08-15,Summer_Sale_v4,1500,3820,90,
2025-08-16,Summer_Sale_v4,1495,3810,95,
2025-08-17,Summer_Sale_v4,1505,3830,88,
2025-08-18,Summer_Sale_v4,1500,3800,92,
2025-08-19,Summer_Sale_v4_rollback,1200,3400,205,Rolled back to old checkout redirect flow
2025-08-20,Summer_Sale_v4_rollback,1210,3420,212,
