date,device,sessions,conversion_rate
2025-08-08,mobile,5200,3.8
2025-08-08,desktop,3100,4.1
2025-08-09,mobile,5150,3.7
2025-08-09,desktop,3050,4.0
2025-08-10,mobile,5300,3.9
2025-08-10,desktop,3120,4.2
2025-08-11,mobile,5400,3.6
2025-08-11,desktop,3080,4.1
2025-08-12,mobile,5350,2.1
2025-08-12,desktop,3100,4.0
2025-08-13,mobile,5280,1.4
2025-08-13,desktop,3090,4.1
2025-08-14,mobile,5150,1.0
2025-08-14,desktop,3000,4.0
2025-08-15,mobile,5100,0.9
2025-08-15,desktop,3050,3.9
2025-08-16,mobile,5180,0.9
2025-08-16,desktop,3020,4.0
2025-08-17,mobile,5090,1.0
2025-08-17,desktop,3010,4.1
2025-08-18,mobile,5120,1.1
2025-08-18,desktop,3040,4.0
2025-08-19,mobile,5300,3.7
2025-08-19,desktop,3100,4.0
2025-08-20,mobile,5350,3.9
2025-08-20,desktop,3110,4.1
